,City,Country,Lat,Lng,Max Temperature,Humidity,Wind speed,Date,Cloudiness
0,saint-louis,SN,16.3333,-15,34,17,2.06,1615220359,0
1,bilibino,RU,68.0546,166.4372,-32.04,83,2.14,1615220359,100
2,nikolskoye,RU,59.7035,30.7861,-8.75,62,3,1615220273,40
3,vaini,TO,-21.2,-175.2,24,78,4.12,1615220235,40
4,kodiak,US,57.79,-152.4072,-4,80,3.09,1615220254,1
5,east london,ZA,-33.0153,27.9116,20,64,9.26,1615220243,40
6,pangnirtung,CA,66.1451,-65.7125,-19,78,0.32,1615220265,90
7,thompson,CA,55.7435,-97.8558,-4,86,1.54,1615220063,75
8,taltal,CL,-25.4,-70.4833,21.03,67,2.14,1615220289,47
9,sao joao da barra,BR,-21.6403,-41.0511,29,65,2.32,1615220238,75
10,punta arenas,CL,-53.15,-70.9167,15.5,51,9.26,1615219945,40
11,hobart,AU,-42.8794,147.3294,13.8,63,4.63,1615219988,75
12,progreso,MX,21.2833,-89.6667,25.58,50,5.66,1615220359,75
13,westport,US,41.1415,-73.3579,0.98,27,8,1615220244,1
14,galle,LK,6.0367,80.217,26.15,83,4.01,1615220097,87
15,port elizabeth,ZA,-33.918,25.5701,20,77,8.23,1615220251,20
16,humaita,BR,-7.5061,-63.0208,29.33,71,2.46,1615220360,92
17,frederico westphalen,BR,-27.3592,-53.3944,27.81,55,1.34,1615220282,0
18,amarante do maranhao,BR,-5.5667,-46.7422,31.83,53,2.76,1615220360,92
19,vulcan,RO,45.3833,23.2667,1.45,77,2.76,1615220360,0
20,millinocket,US,45.6573,-68.7098,-2,46,3.09,1615220360,1
21,new norfolk,AU,-42.7826,147.0587,13.85,63,4.63,1615220242,75
22,bluff,NZ,-46.6,168.3333,10.56,90,1.79,1615220242,78
23,bethel,US,41.3712,-73.414,-0.11,32,5.14,1615220250,1
24,chara,RU,56.9064,118.2631,-15.04,83,1.17,1615220360,53
25,avarua,CK,-21.2078,-159.775,26,78,4.63,1615220131,100
26,kodinsk,RU,58.6881,99.1844,-7.27,94,5.01,1615220360,100
27,mazatlan,MX,23.2167,-106.4167,24.12,46,1.03,1615220156,1
28,paamiut,GL,61.994,-49.6678,-3.33,95,5.93,1615220360,100
29,coihaique,CL,-45.5752,-72.0662,13,50,3.09,1615220360,75
30,hermanus,ZA,-34.4187,19.2345,17.78,61,0.89,1615220235,100
31,taolanaro,UA,49.3767,29.6647,-1.61,91,4.39,1615220361,35
32,tetiyiv,IT,40.8333,14.25,13.16,72,4.12,1615220361,75
33,naples,ET,4.05,38.3,23.3,23,4.81,1615220361,61
34,mega,RU,71.6872,128.8694,-29.25,86,6.64,1615220248,100
35,tiksi,MX,22.8909,-109.9124,21.62,37,2.06,1615220243,1
36,cabo san lucas,NZ,-46.1927,168.8643,10.56,90,1.79,1615220239,51
37,mataura,AR,-54.8,-68.3,13,50,3.6,1615220231,75
38,illoqqortoormiut,PF,-16.4833,-151.75,28.12,76,9.57,1615220247,100
39,ushuaia,IN,21.2417,77.7456,28.5,15,3.96,1615220361,0
40,faanui,US,28.7086,-81.2081,18.6,42,8.23,1615220203,90
41,chandur bazar,PF,-23.1203,-134.9692,26.74,83,6.5,1615220235,100
42,seminole,EC,-0.7393,-90.3518,27.86,74,3.6,1615220239,20
43,belushya guba,BR,-24.7911,-50.0119,23.61,77,1.05,1615220249,35
44,rikitea,AU,-34.5833,150.8552,18.75,85,0.45,1615220362,26
45,samusu,ML,14,-7.75,38.6,9,4.95,1615220362,28
46,puerto ayora,RU,50.3643,108.7512,-8.33,94,0.98,1615220362,11
47,castro,US,22.0752,-159.319,21.5,83,6.69,1615220242,75
48,flinders,CA,47.6666,-52.7314,-1.23,54,4.63,1615220236,75
49,koulikoro,AU,-35.35,150.4667,15.09,100,2.36,1615220362,24
50,krasnyy chikoy,US,42.097,-79.2353,0.64,81,3.87,1615220237,75
51,kapaa,CN,27.6167,113.85,8.97,91,1.03,1615220362,91
52,torbay,MR,20.5169,-13.0499,28.08,17,6.06,1615220258,0
53,ulladulla,CA,69.4541,-133.0374,-35,75,1.54,1615220240,1
54,jamestown,GL,60.9167,-46.05,0,80,1.54,1615220271,75
